,Date,Time,Location,Operator,FlightNr,Route,AC Type,Registration,SerialNr,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,CrashLong,CrashLat,StartEnd,latStart,longStart,latEnd,longEnd
43,1920-09-15,,"Pemberville, Ohio",US Aerial Mail Service,, ,Junkers F-13,308,0,2,0,0,2,0.0,0.0,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,-83.46104,41.4108855, ,,,,
44,1920-09-27,,"Hillersburg, Pennsylvania",US Aerial Mail Service,, ,De Havilland DH-4,316,0,1,0,1,1,0.0,1.0,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,-76.96081029999999,40.5395289, ,,,,
45,1920-10-02,,"Off Port Vendres, France",Latecoere Airlines,, ,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1.0,1.0,0,Crashed into the Mediterranean while on a mail flight.,3.106592,42.518487, ,,,,
46,1920-10-05,,"Valencia, Spain",Latecoere Airlines,, ,Breguet 14,F-ALTA,20,2,1,1,2,1.0,1.0,0,While on a mail flight the plane crashed while attempting to land.,-0.3762881,39.4699075, ,,,,
47,1920-10-15,,"Batavia, Illinois",US Aerial Mail Service,, ,De Havilland DH-4,76,0,1,0,1,1,0.0,1.0,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,-88.3125738,41.8500284, ,,,,
48,1920-11-07,,"Tie Siding, Wyoming",US Aerial Mail Service,, ,De Havilland DH-4,,178,1,0,1,1,0.0,1.0,0,The aircraft crashed into a mountain in poor weather condtions.,-105.5074905,41.0802621, ,,,,
49,1920-12-14,12:15:00,"London, England",Handley Page Transport,,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2.0,2.0,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,-0.1275862,51.5072178,London-Paris,51.5072178,-0.1275862,48.856614,2.3522219
50,1920-12-24,,"Barcelona, Spain",Aeropostale,, ,Breguet 14,F-ALBO,57,1,0,1,1,0.0,1.0,0,The aircraft stalled and crashed when an engine failed.,2.168568,41.3873974, ,,,,
51,1921-02-03,,"Mendotta, Minnisota",US Aerial Mail Service,, ,De Havilland DH-4,130,0,1,0,1,1,0.0,1.0,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,-93.1643869,44.8871878, ,,,,
52,1921-02-09,,"La Crosse, Wisconsin",US Aerial Mail Service,, ,Junkers F-13,301,0,3,0,3,3,0.0,3.0,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,-91.25190169999999,43.8137751, ,,,,
53,1921-02-15,,Off Gibraltar,Aeropostale,, ,Breguet 14,F-ALBA,0,2,0,2,2,0.0,2.0,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,-5.353585,36.140751, ,,,,
54,1921-02-22,,"Elko, Nevada",US Aerial Mail Service,, ,De Havilland DH-4,67,0,1,0,1,1,0.0,1.0,0,"Shortly after taking off, the aircraft stalled and crashed .",-115.7631232,40.8324211, ,,,,
55,1921-04-06,,"Point Cook, Australia",Military - Royal Australian Air Force,, ,  , Avro 504,H3021,0,2,0,0,2.0,0.0,0,0,144.7535412,-37.9002829, ,,,,
56,1921-04-21,,"Mitchel Field, NY",US Aerial Mail Service,, ,De Havilland DH-4,160,0,1,0,1,1,0.0,1.0,0,After taking off the aircraft stalled and crashed.,-74.21793260000001,43.2994285, ,,,,
57,1921-04-29,,"Cleveland, Ohio",US Aerial Mail Service,, ,De Havilland DH-4,196,0,1,0,1,1,0.0,1.0,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",-81.6943605,41.49932, ,,,,
58,1921-05-17,,"Rock Springs, Wyoming",US Aerial Mail Service,, ,De Havilland DH-4 De Havilland DH-4,176,0,1,0,1,1,0.0,1.0,0,Crashed while attempting to land.,-109.2029043,41.58746439999999, ,,,,
59,1921-08-14,,"Toulouse, France",Aeropostale,, ,Breguet 14,F-ALBI,0,2,0,0,2,0.0,0.0,0,,1.444209,43.604652, ,,,,
60,1921-08-24,17:40:00,"River Humber, England",Military - Royal Airship Works,, ,Royal Airship Works ZR-2 (airship),R-38,R-38,46,0,46,46,0.0,46.0,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,-0.3361764,53.7376314, ,,,,
61,1921-09-06,,"Paris, France",Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5,4,1,5,4.0,1.0,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,2.3522219,48.856614,Warsaw-Paris,52.2296756,21.0122287,48.856614,2.3522219
62,1921-12-05,,"Near Murchinson River, Australia",West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,0,2,2,0.0,2.0,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,118.8421994343323,-25.87480558455377,Geraldton-Derby,-28.7761346,114.611295,52.9225301,-1.4746186
63,1922-01-14,,"Paris, France",Handley Page Transport,, ,Handley Page O/10,G-EATN,HP-43,5,4,1,5,4.0,1.0,5,Crashed at Le Bourget field.,2.3522219,48.856614, ,,,,
64,1922-02-21,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,, ,Dirigible Roma (airship),,0,45,0,0,34,0.0,0.0,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,-76.28587259999999,36.8507689, ,,,,
65,1922-03-22,11:40:00,North Atlantic Ocean,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),,0,6,5,1,5,5.0,0.0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",-39.462891,35.746512,Miami-Bimini,25.7616798,-80.1917902,25.7272608,-79.2978993
66,1922-04-07,13:15:00,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,5,2,7,5.0,2.0,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1.939705,49.665342,Croydon-Le Bourget,51.3769529,-0.0956895,48.936752,2.425377
67,1922-04-08,,"Pao Ting Fou, China",,,Test,,,0,17,0,17,17,0.0,17.0,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,115.46459,38.8739599, ,,,,
68,1922-06-03,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3,2,1,3,2.0,1.0,0,Went down into the English Channel while en route.,1.169456,51.081397,Croydon-Paris,51.3769529,-0.0956895,48.856614,2.3522219
69,1922-07-04,,"Fuhlsbuttel, Germany",,,Hamburg - Berlin,LVG C VI,,0,3,2,1,2,1.0,1.0,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",9.9911535,53.6295551,Hamburg-Berlin,53.5510846,9.9936818,52.52000659999999,13.404954
70,1922-07-16,16:45:00,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,F-FREI,25,5,4,1,5,4.0,1.0,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,7.361647,48.741963,Strasbourg-Paris,48.5734053,7.752111299999999,48.856614,2.3522219
71,1922-07-26,,"Cadix, Spain",Grands Express Aeriens,, ,Breguet 14,F-ALVE,117,3,2,1,3,2.0,1.0,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",-6.2804565,36.5210142, ,,,,
72,1922-09-07,,"Indianapolis, Indiana",US Aerial Mail Service,, ,De Havilland DH-4,227,0,1,0,1,1,0.0,1.0,0,The plane stalled shortly after takeoff and crashed.,-86.158068,39.768403, ,,,,
73,1922-10-02,,"Venice, Italy",de Havilland Air Service,,Venice - London,de Havilland DH-9,G-EAYT,14,4,3,1,4,3.0,1.0,0,Shortly after taking off the plane crashed into the sea and sank.,12.3155151,45.4408474,Venice-London,45.4408474,12.3155151,51.5072178,-0.1275862
74,1922-10-25,,"Larache, Morocco",Grands Express Aeriens,, ,Breguet 14,,0,2,1,1,2,1.0,1.0,0,Crashed under unknown circumstances.,-6.1473964,35.1744271, ,,,,
75,1922-12-03,,"Fez, Morocco",Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,0,1,1,0.0,1.0,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,-5.0078451,34.0181246,Toulouse-Rabat,43.604652,1.444209,33.9715904,-6.8498129
76,1923-01-10,,"Ajaccio, France",Amee de l'Air,, ,Lior̩-et-Olivier H-13,F-AEIB,4,4,2,2,3,1.0,2.0,0,The plane crashed mid-air due to a structural failure of the tail.,8.738635,41.919229, ,,,,
77,1923-01-17,,"Barcelona, Spain",Grands Express Aeriens,, ,Breguet 14,F-ALJU,6083-130,1,0,1,1,0.0,1.0,0,Crashed into a mountain during a snowstorm.,2.168568,41.3873974, ,,,,
78,1923-01-18,,"Cheyenne, Wyoming",US Aerial Mail Service,, ,De Havilland DH-4,223,0,1,0,1,1,0.0,1.0,0,Crashed during a mail flight.,-104.8202462,41.1399814, ,,,,
79,1923-02-26,,"Meadville, Pennsylvania",US Aerial Mail Service,, ,De Havilland DH-4,291,0,1,0,1,1,0.0,1.0,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,-80.15144839999999,41.6414438, ,,,,
80,1923-05-14,13:42:00,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,F-AEBY,15,6,4,2,6,4.0,2.0,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",2.295753,49.894067,Paris-London,48.856614,2.3522219,51.5072178,-0.1275862
81,1923-08-27,17:30:00,"East Mallling, United Kingdom",Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11,9,2,1,1.0,0.0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",0.440026,51.287435,Paris-Croydon,48.856614,2.3522219,51.3769529,-0.0956895
82,1923-08-27,,"Bucharest, Romania",Campagnie France Roumaine,, ,Bl̩riot Spad 46,F-AEGN,28,2,1,1,2,1.0,1.0,0,Crashed while on approach to Bucharesst.,26.1025384,44.4267674, ,,,,
83,1923-09-07,,"Colton, Ohio",US Aerial Mail Service,, ,De Havilland DH-4,283,0,1,0,1,1,0.0,1.0,0,Crashed during an emergency landing attempt.,-83.9521687,41.4645824, ,,,,
84,1923-09-14,18:00:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5,3,2,5,3.0,2.0,0,Crashed while attempting a forced landing after encountering heavy rain.,-0.628359,51.837421,Croydon-Manchester,51.3769529,-0.0956895,53.4807593,-2.2426305
85,1923-11-18,,Russia,CCCP,, ,Junkers F-13,D-257,0,5,2,3,3,1.0,2.0,0,Crashed during a training flight.,105.318756,61.52401, ,,,,
86,1923-12-06,,"Castalia, Ohio",US Aerial Mail Service,, ,De Havilland DH-4,318,0,1,0,1,1,0.0,1.0,0,Crashed under unknown circumstances.,-82.80852039999999,41.4000523, ,,,,
87,1923-12-23,02:30:00,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,0,52,0,0,52,0.0,0.0,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",18.0480105,34.5531284,Toulon-Algiers,43.124228,5.928,36.753768,3.0587561
88,1923-12-24,,"Egbert, WY",US Aerial Mail Service,, ,De Havilland DH-4,315,0,1,0,1,1,0.0,1.0,0,Crashed into a montain in poor weather conditions.,-104.2568991,41.1697041, ,,,,
89,1924-03-07,,"Grampian, Pennsylvania",US Aerial Mail Service,, ,De Havilland DH-4,327,0,1,0,1,1,0.0,1.0,0,Crashed during a snowstorm.,-78.6130821,40.9658931, ,,,,
90,1924-04-24,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,2,1,3,2.0,1.0,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,-0.357056,50.134664,"Lympne, England-Rotterdam, The Netherlands",51.075215,1.025608,51.9244201,4.4777325
91,1924-06-08,,"Barranquilla, Colombia",SCADTA,,Barranquilla - Bogota,Junkers F-13,A16,684,5,3,2,5,3.0,2.0,0,Stalled after taking off and crashed into houses..,-74.80698129999999,11.0041072,Barranquilla-Bogota,11.0041072,-74.80698129999999,4.710988599999999,-74.072092
92,1924-08-01,,United States,US Aerial Mail Service,, ,De Havilland DH-4,297,0,1,0,1,1,0.0,1.0,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",-95.712891,37.09024, ,,,,
93,1924-11-06,,"Cabrerolles, France",Grands Express Aeriens,, ,Breguet 14,F-AFBD,0,1,0,1,1,0.0,1.0,0,"While en route the pilot encountered thunderstorms, lost control and crashed.",3.125343,43.545815, ,,,,
94,1924-12-21,,"Goshen, Indiana",US Aerial Mail Service,, ,De Havilland DH-4,311,0,1,0,1,1,0.0,1.0,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",-85.8267552,41.5868377, ,,,,
95,1924-12-24,12:00:00,"Purley, England",Imperial Airways,,London - Paris,de Havilland DH-34B,G-EBBX,36,8,7,1,8,7.0,1.0,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",-0.119711,51.339228,London-Paris,51.5072178,-0.1275862,48.856614,2.3522219
96,1925-03-22,,"Near Tiflis, Georgia, USSR",Zakavia,,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5,3,2,5,3.0,2.0,0,Shortly after take off the plane went out of control and crashed in flames.,44.827096,41.7151377,Tiflis-Suchumi,41.7151377,44.827096,43.0015252,41.0234153
97,1925-04-25,,"Alicante, Spain",Grands Express Aeriens,,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3,1,2,3,1.0,2.0,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",-0.4906855,38.3459963,Alicante-Toulouse,38.3459963,-0.4906855,43.604652,1.444209
98,1925-06-25,,"Landr̩cies, France",KLM Royal Dutch Airlines,,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4,3,1,4,3.0,1.0,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",2.213749,46.227638,Amsterdam-Paris,52.3675734,4.9041389,48.856614,2.3522219
99,1925-06-26,,"Alicante, Spain",Grands Express Aeriens,,Oran - Alicante,Lior̩-et-Olivier LeO H-13,F-FREM,0,2,0,2,2,0.0,2.0,0,While attempting to land the seaplane hit a lightning mast and crashed.,-0.4906855,38.3459963,Oran-Alicante,35.6987388,-0.6349319,38.3459963,-0.4906855
100,1925-07-20,,"Rosas, Spain",Lignes Aeriennes Latecoere,,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1,0,1,1,0.0,1.0,0,Crashed in unknown circumstance.,3.2080991,42.2605204,Toulouse-Barcelona,43.604652,1.444209,41.3873974,2.168568
101,1925-07-24,,"Budapest, Hungary",CIDNA,, ,Potez IX,,0,1,0,1,1,0.0,1.0,0,Crashed while attempting to land 10 km from the airport,19.040235,47.497912, ,,,,
